市区町村名,緯度,経度
あま市,35.18739292927157,136.80333930782066
みよし市,35.0894425453031,137.08392905312357
一宮市,35.3147366803221,136.79511724450654
刈谷市,35.00133530506926,136.991128622458
北名古屋市,35.22767077984681,136.87247922498725
半田市,34.90320217092687,136.93221882988263
南知多町,34.72510319464927,136.91891378010965
名古屋市,35.14335350573202,136.9269337886345
大口町,35.31452409055374,136.9095214117264
大府市,35.017584850471444,136.95530654265193
大治町,35.16364030875492,136.82274838505168
安城市,34.94135176298008,137.07320928735032
小牧市,35.29333035641889,136.93086024450065
尾張旭市,35.213178682587596,137.0358344292732
岡崎市,34.94701739804626,137.1733442103698
岩倉市,35.27041836943658,136.87164640082327
常滑市,34.89182768441922,136.8460881665889
幸田町,34.865663786993345,137.16927218571996
弥富市,35.10412273642096,136.74576841513527
愛西市,35.17150143368622,136.70377121971988
扶桑町,35.3386014519771,136.91153639232263
新城市,34.896102753092634,137.50107422195052
日進市,35.135831985768014,137.04347215763502
春日井市,35.25746842776609,136.98204169720236
東栄町,35.081758416666666,137.6535555
東浦町,34.9694052240189,136.96040940815772
東海市,35.02545101751099,136.90711431152266
東郷町,35.096241873193165,137.05131237910643
武豊町,34.84980345653844,136.91028935076525
江南市,35.34105370817434,136.87061537798067
津島市,35.1725719287915,136.74832022614189
清須市,35.21267203482222,136.84859433166812
瀬戸市,35.22814027992275,137.09256123462774
犬山市,35.36213837413896,136.95579697349558
田原市,34.65500770008327,137.23350838073648
知多市,34.968785973311185,136.86556003167308
知立市,34.99133504299193,137.04870586957847
碧南市,34.88720060474582,136.99601971932103
稲沢市,35.239825869359,136.75941471583315
美浜町,34.77798013574839,136.88755291020195
蒲郡市,34.81693529658947,137.22093847271898
蟹江町,35.111773180201684,136.7862287724208
西尾市,34.83828469911614,137.05856416034584
設楽町,35.10181765,137.46538855
豊山町,35.228547730379066,136.91341546627515
豊川市,34.83235120523553,137.36682125548137
豊明市,35.056120435442466,137.0070099859559
豊根村,35.1728455,137.70807133333333
豊橋市,34.743897657485675,137.3952964035739
豊田市,35.07734612209138,137.17929115916067
長久手市,35.1765722556236,137.04321488209197
阿久比町,34.93583862987013,136.91506778439677
飛島村,35.0783154369693,136.7932708478119
高浜市,34.93121961188119,136.99371599867987
